Date, Time, General Emotion
2022-09-13, 11:39:35.504911, Confused
2022-09-13, 11:39:40.501183, Confused
2022-09-13, 11:39:45.503935, Confused
2022-09-13, 11:39:50.542944, Confused
2022-09-13, 11:39:55.565054, 
2022-09-13, 11:40:00.535093, Confused
2022-09-13, 11:40:05.725541, Confused
2022-09-13, 11:40:10.511309, 
2022-09-13, 11:40:15.529232, Confused
2022-09-13, 11:40:20.509017, Confused
2022-09-13, 11:40:25.683582, Happy
2022-09-13, 11:40:30.512056, Happy
2022-09-13, 11:40:35.703903, Happy
2022-09-13, 11:40:40.654948, Happy
